id,title,question,answer,category,article,keywords,related_genera,difficulty_level,content_type,view_count,helpful_votes,last_updated,created_at,author,source_url
1,Joseph Arditti,Who is Joseph Arditti and what are his major contributions to orchid science?,"Joseph Arditti is a renowned orchid biologist known for his pioneering research in orchid seed germination, tissue culture, and orchid physiology. He authored the seminal book 'Orchid Biology: Reviews and Perspectives' and published extensively on orchid micropropagation techniques.",Famous Orchid Botanists,,"[""orchid"", ""germination"", ""tissue culture"", ""propagation""]",[],advanced,qa,0,0,2025-09-17 23:35:23.463367,2025-09-17 23:35:23.46337,,
2,Orchid Seed Flasking,What is orchid seed flasking and how is it done?,"Orchid seed flasking is the sterile germination of orchid seeds in vitro, usually on agar-based media with nutrients and hormones. This process allows for the propagation of orchids from seed without requiring fungal symbiosis.",Advanced Orchid Propagation,,"[""orchid"", ""orchids"", ""germination"", ""propagation""]",[],advanced,qa,0,0,2025-09-17 23:35:23.463373,2025-09-17 23:35:23.463374,,
3,American Orchid Society (AOS),What is the American Orchid Society?,"The AOS is a leading nonprofit organization based in the U.S. that promotes orchid education, conservation, and cultivation through publications, judging programs, and grants. They publish 'Orchids' magazine and maintain extensive orchid culture resources.",Orchid Societies,,"[""orchid"", ""orchids"", ""conservation""]",[],intermediate,qa,0,0,2025-09-17 23:35:23.463376,2025-09-17 23:35:23.463376,,
4,Orchid Conservation Alliance,What does the Orchid Conservation Alliance do?,The OCA funds and supports the purchase of rainforest lands to protect orchid habitats worldwide. They collaborate with local conservation groups and emphasize in-situ preservation.,Orchid Conservation Organizations,,"[""habitat"", ""orchid"", ""conservation""]",[],intermediate,qa,0,0,2025-09-17 23:35:23.463377,2025-09-17 23:35:23.463378,,
5,Cymbidium Care,How do I grow Cymbidium orchids outdoors?,"Cymbidiums prefer cool nights, bright indirect light, and ample water during their growth season. In coastal climates, they can be grown outdoors with protection from frost. Use a well-draining medium and feed regularly during active growth.",Orchid Care,,"[""cymbidium"", ""orchid"", ""orchids""]","[""Cymbidium""]",beginner,qa,0,0,2025-09-17 23:35:23.463379,2025-09-17 23:35:23.463379,,
6,North American Orchid Conservation Center (NAOCC),What is the North American Orchid Conservation Center?,"The NAOCC is a collaborative effort led by the Smithsonian and the U.S. Botanic Garden to conserve native orchids across North America. Their website offers ID tools, pollination research, and conservation programs.",Orchid Conservation Organizations,,"[""orchid"", ""orchids"", ""conservation"", ""pollination""]",[],intermediate,qa,0,0,2025-09-17 23:35:23.46338,2025-09-17 23:35:23.463381,,
7,Orchid Pollinators,What kinds of pollinators are important for orchids?,"Orchids are pollinated by a variety of insects including bees, flies, moths, butterflies, and even birds and bats. Some species have highly specialized pollinator relationships, like Angraecum sesquipedale and the hawkmoth Xanthopan morganii.",Pollination & Ecology,,"[""orchid"", ""orchids"", ""pollination""]","[""Angraecum""]",intermediate,qa,0,0,2025-09-17 23:35:23.463382,2025-09-17 23:35:23.463382,,
8,Mycorrhizal Fungi,What is the relationship between orchids and mycorrhizal fungi?,"Orchids rely on mycorrhizal fungi, especially during germination, to provide nutrients in exchange for sugars. This symbiosis is critical in both wild and cultivated orchids, and varies by genus and environment.",Fungal Symbiosis,,"[""germination"", ""orchid"", ""orchids"", ""mycorrhiza""]",[],advanced,qa,0,0,2025-09-17 23:35:23.463383,2025-09-17 23:35:23.463384,,
9,Taiwan Orchid Industry,Why is Taiwan significant in the global orchid industry?,"Taiwan is a major hub for orchid production, especially Phalaenopsis hybrids. Its nurseries export worldwide and lead in hybrid development, tissue culture innovation, and mass propagation techniques.",Global Orchid Trade & Geography,,"[""orchid"", ""tissue culture"", ""propagation"", ""phalaenopsis""]","[""Phalaenopsis""]",intermediate,qa,0,0,2025-09-17 23:35:23.463385,2025-09-17 23:35:23.463385,,
10,Best Online Orchid Retailers,Where can I buy orchids online?,"Reputable online orchid retailers include OrchidWeb, Sunset Valley Orchids, Ecuagenera, Hausermann's, and Carter & Holmes. Always check reviews, shipping policies, and country restrictions before ordering.",Buying Orchids,,"[""orchid"", ""orchids""]",[],intermediate,qa,0,0,2025-09-17 23:35:23.463386,2025-09-17 23:35:23.463386,,
11,Quantum Biology in Plants,What is quantum biology and how does it relate to plants?,"Quantum biology studies quantum phenomena like coherence, tunneling, and entanglement in biological systems. In plants, quantum coherence may explain the high efficiency of energy transfer in photosynthesis, particularly in light-harvesting complexes of chloroplasts.",Quantum Biology,,"[""photosynthesis""]",[],beginner,qa,0,0,2025-09-17 23:35:23.463387,2025-09-17 23:35:23.463388,,
12,Consciousness and Plant Signaling,Do plants have consciousness or intelligence?,"Plants exhibit complex signaling, memory-like behaviors, and environmental responsiveness through biochemical and electrical pathways. While not conscious in the human sense, ongoing research explores plant neurobiology and the potential for a non-neural form of awareness.",Consciousness & Plant Intelligence,,[],[],intermediate,qa,0,0,2025-09-17 23:35:23.463388,2025-09-17 23:35:23.463389,,
