id,term,definition,category,difficulty,etymology,pronunciation,example_usage
1,aberrant,Unusual or exceptional; a plant or structure that varies from the normal or typical,botanical,intermediate,"",ab-AIR-ant,An aberrant plantlet growing on an Encyclia pseudobulb
2,abortion,Premature bud or flower drop or poorly developed organ,botanical,beginner,"",a-BORE-shun,Flower abortion often occurs due to stress or poor growing conditions
3,acaulescent,"Stemless, or apparently stemless",botanical,intermediate,"",a-kawl-ESS-ent,Dendrobium purpureum has acaulescent flowers
4,aerial roots,Roots produced above or out of the growing medium,botanical,beginner,"",AIR-ee-al,Most epiphytic orchids have aerial roots to absorb moisture from air
5,agar,"A gelatinous substance derived from seaweeds, used as solidifying agent in culture media for germinating orchid seed",cultural,intermediate,"",AH-ger,Orchid seeds are sown on sterile agar medium in laboratory conditions
6,AM/AOS,Award of Merit from American Orchid Society; given to orchids scoring 80-89 points out of 100,awards,intermediate,"","",This Cattleya received an AM/AOS for its excellent flower quality
7,CBR/AOS,"Certificate of Botanical Recognition; awarded for rarity, novelty and educational value",awards,advanced,"","",Species orchids often receive CBR/AOS awards for botanical significance
8,CCE/AOS,Certificate of Cultural Excellence; awarded to specimen plants scoring 90+ points with robust health,awards,advanced,"","",The massive Cymbidium display earned a CCE/AOS for outstanding cultivation
9,pseudobulb,Thickened stem structure of orchids that stores water and nutrients,botanical,beginner,"","",Cattleya pseudobulbs become wrinkled when the plant needs water
10,epiphyte,Plant that grows on another plant but is not parasitic,botanical,beginner,"",EP-ih-fyte,Most tropical orchids are epiphytes growing on tree branches
11,terrestrial,Growing in soil or other ground medium,botanical,beginner,"","","Cypripedium orchids are terrestrial, growing in forest soil"
12,lithophyte,Plant that grows on rocks,botanical,intermediate,"",LITH-oh-fyte,Some Dendrobium species are lithophytes in their native habitat
13,sympodial,Growth pattern where new shoots arise from base of previous growth,botanical,intermediate,"",sim-POH-dee-al,"Cattleya orchids have sympodial growth, creating multiple pseudobulbs"
14,monopodial,Growth pattern with single main stem that continues growing upward,botanical,intermediate,"",mon-oh-POH-dee-al,Phalaenopsis orchids have monopodial growth with leaves alternating up the stem
15,keiki,Hawaiian word for baby; plantlet that develops on orchid flower spikes or pseudobulbs,cultural,beginner,"",KAY-kee,The Dendrobium produced several keikis that can be potted separately
16,meristem,Growing tip tissue used for propagation,cultural,advanced,"",MARE-ih-stem,Meristem culture allows rapid multiplication of valuable orchid clones
17,velamen,Spongy outer layer of orchid roots that absorbs water and nutrients,botanical,intermediate,"",veh-LAY-men,The silvery velamen on healthy roots turns green when wet
18,column,"Central reproductive structure of orchid flower, containing both male and female parts",botanical,beginner,"","",The orchid column is unique among flowers for combining stamens and pistil
19,pollinia,"Pollen masses of orchids, usually waxy and attached to a stalk",botanical,intermediate,"",pol-LIN-ee-ah,Each orchid flower typically has two or more pollinia for reproduction
20,labellum,"The lip petal of orchid flower, often highly modified to attract pollinators",botanical,intermediate,"Latin for ""little lip""",la-BELL-um,The colorful labellum serves as a landing platform for pollinating insects
